wtp,vMC,aMC,subj,gender,age,TraitAnxiety
53,5.418716657,5.418716657,1,0,21,35
50,-10.27176016,10.27176016,1,0,21,35
3,2.268879457,2.268879457,1,0,21,35
1,-1.238725955,1.238725955,1,0,21,35
48,-2.380086473,2.380086473,1,0,21,35
0,1.603020005,1.603020005,1,0,21,35
44,-6.289805657,6.289805657,1,0,21,35
51,6.836539091,6.836539091,1,0,21,35
44,-7.26549469,7.26549469,1,0,21,35
44,-3.143797443,3.143797443,1,0,21,35
50,-2.413060119,2.413060119,1,0,21,35
16,9.276845033,9.276845033,1,0,21,35
0,0.33282067,0.33282067,1,0,21,35
50,-5.2556382,5.2556382,1,0,21,35
49,8.590958601,8.590958601,1,0,21,35
46,-6.008697083,6.008697083,1,0,21,35
0,1.993230433,1.993230433,1,0,21,35
46,-4.412686282,4.412686282,1,0,21,35
47,1.017607882,1.017607882,1,0,21,35
51,5.403049408,5.403049408,1,0,21,35
50,14.5885785,14.5885785,1,0,21,35
48,-0.262311364,0.262311364,1,0,21,35
24,-0.614427751,0.614427751,1,0,21,35
9,-4.143070519,4.143070519,1,0,21,35
54,-5.741790037,5.741790037,1,0,21,35
26,1.68655798,1.68655798,1,0,21,35
0,0.087197091,0.087197091,1,0,21,35
15,1.979310001,1.979310001,1,0,21,35
-2,5.350031658,5.350031658,1,0,21,35
48,4.419668657,4.419668657,1,0,21,35
0,-1.528167671,1.528167671,1,0,21,35
5,3.218920057,3.218920057,1,0,21,35
,-4.974003053,4.974003053,1,0,21,35
23,0.49089017,0.49089017,1,0,21,35
15,9.018295678,9.018295678,1,0,21,35
45,-4.684011232,4.684011232,1,0,21,35
1,-9.625468495,9.625468495,1,0,21,35
19,1.178118789,1.178118789,1,0,21,35
,-2.574538248,2.574538248,2,1,24,39
,-0.300952516,0.300952516,2,1,24,39
,-4.333532257,4.333532257,2,1,24,39
,-1.972861285,1.972861285,2,1,24,39
,2.603637065,2.603637065,2,1,24,39
,-7.29422336,7.29422336,2,1,24,39
,1.75509533,1.75509533,2,1,24,39
,7.906755144,7.906755144,2,1,24,39
2,-3.540600027,3.540600027,2,1,24,39
,-5.21398275,5.21398275,2,1,24,39
1,6.164070282,6.164070282,2,1,24,39
4,-2.430905249,2.430905249,2,1,24,39
0,-4.88510454,4.88510454,2,1,24,39
0,4.827890114,4.827890114,2,1,24,39
0,1.442258954,1.442258954,2,1,24,39
0,0.116217128,0.116217128,2,1,24,39
0,-4.782621407,4.782621407,2,1,24,39
0,-2.837743857,2.837743857,2,1,24,39
0,4.117842647,4.117842647,2,1,24,39
0,9.468979226,9.468979226,2,1,24,39
,0.534180907,0.534180907,2,1,24,39
8,1.337159011,1.337159011,2,1,24,39
2,2.156013147,2.156013147,2,1,24,39
2,1.710722385,1.710722385,2,1,24,39
0,6.223806211,6.223806211,2,1,24,39
0,-1.653581372,1.653581372,2,1,24,39
0,-10.3703815,10.3703815,2,1,24,39
,-2.907417866,2.907417866,2,1,24,39
0,-7.504431265,7.504431265,2,1,24,39
4,-2.815897233,2.815897233,2,1,24,39
2,0.301331577,0.301331577,2,1,24,39
0,5.03318776,5.03318776,2,1,24,39
2,2.564695668,2.564695668,2,1,24,39
0,1.967343579,1.967343579,2,1,24,39
0,8.533662679,8.533662679,2,1,24,39
0,-0.076701264,0.076701264,2,1,24,39
0,-1.885379083,1.885379083,2,1,24,39
,2.002004179,2.002004179,2,1,24,39
0,-4.393349993,4.393349993,2,1,24,39
0,1.509631803,1.509631803,2,1,24,39
0,4.94928525,4.94928525,2,1,24,39
0,8.757114056,8.757114056,2,1,24,39
-1,2.820295834,2.820295834,2,1,24,39
0,-1.588748984,1.588748984,2,1,24,39
0,-2.725160533,2.725160533,2,1,24,39
,-4.018660264,4.018660264,2,1,24,39
0,-0.374019933,0.374019933,2,1,24,39
0,-0.064633492,0.064633492,2,1,24,39
3,-8.689572083,8.689572083,2,1,24,39
0,1.118925163,1.118925163,2,1,24,39
,5.132033616,5.132033616,2,1,24,39
0,-2.99666724,2.99666724,2,1,24,39
0,-3.155664324,3.155664324,2,1,24,39
0,8.595414775,8.595414775,2,1,24,39
0,-10.52757071,10.52757071,2,1,24,39
0,-6.753483525,6.753483525,2,1,24,39
0,3.900713927,3.900713927,2,1,24,39
,5.195582768,5.195582768,2,1,24,39
-1,-11.2928579,11.2928579,2,1,24,39
0,-4.965520324,4.965520324,2,1,24,39
0,5.578832822,5.578832822,2,1,24,39
0,1.730327908,1.730327908,2,1,24,39
0,-3.855154446,3.855154446,2,1,24,39
,8.851556834,8.851556834,2,1,24,39
0,6.484095874,6.484095874,2,1,24,39
2,3.132233113,3.132233113,2,1,24,39
0,4.718699598,4.718699598,2,1,24,39
0,-8.583877528,8.583877528,2,1,24,39
0,1.041705681,1.041705681,2,1,24,39
0,6.363741185,6.363741185,2,1,24,39
0,-6.946931456,6.946931456,2,1,24,39
-1,5.724234618,5.724234618,2,1,24,39
0,4.486421994,4.486421994,2,1,24,39
0,-9.56201933,9.56201933,2,1,24,39
1,-1.7777856,1.7777856,2,1,24,39
0,-0.836971822,0.836971822,2,1,24,39
1,-0.849479442,0.849479442,2,1,24,39
0,-3.737893596,3.737893596,2,1,24,39
0,-1.538512716,1.538512716,2,1,24,39
0,3.804520787,3.804520787,2,1,24,39
-1,-4.039607538,4.039607538,2,1,24,39
1,5.129979447,5.129979447,2,1,24,39
-1,-3.642700523,3.642700523,2,1,24,39
0,-0.030562283,0.030562283,2,1,24,39
0,-2.979885846,2.979885846,2,1,24,39
0,-0.937425312,0.937425312,2,1,24,39
0,9.344148966,9.344148966,2,1,24,39
0,-1.528369646,1.528369646,2,1,24,39
0,-0.921312335,0.921312335,2,1,24,39
0,-6.784967041,6.784967041,2,1,24,39
1,0.499133555,0.499133555,2,1,24,39
0,1.579265286,1.579265286,2,1,24,39
1,-2.299765112,2.299765112,2,1,24,39
0,8.627996443,8.627996443,2,1,24,39
0,0.398862395,0.398862395,2,1,24,39
-1,4.731461548,4.731461548,2,1,24,39
-1,1.629791963,1.629791963,2,1,24,39
0,9.198001035,9.198001035,2,1,24,39
0,-1.513658121,1.513658121,2,1,24,39
-1,2.002798357,2.002798357,2,1,24,39
0,-4.508449671,4.508449671,2,1,24,39
0,6.868301359,6.868301359,2,1,24,39
0,-0.477527808,0.477527808,2,1,24,39
2,-1.230305558,1.230305558,2,1,24,39
0,0.464046299,0.464046299,2,1,24,39
2,12.5018609,12.5018609,2,1,24,39
0,1.770095664,1.770095664,2,1,24,39
0,-9.518949671,9.518949671,2,1,24,39
0,-3.56288195,3.56288195,2,1,24,39
-1,9.207427899,9.207427899,2,1,24,39
-1,6.279114081,6.279114081,2,1,24,39
0,-5.806903154,5.806903154,2,1,24,39
0,5.941403795,5.941403795,2,1,24,39
0,-8.654166832,8.654166832,2,1,24,39
,-6.073140422,6.073140422,2,1,24,39
0,-7.281564372,7.281564372,2,1,24,39
0,-3.024301492,3.024301492,2,1,24,39
0,-6.320173876,6.320173876,2,1,24,39
0,8.224510836,8.224510836,2,1,24,39
0,-1.850332214,1.850332214,2,1,24,39
0,-10.88307562,10.88307562,2,1,24,39
0,3.497268016,3.497268016,2,1,24,39
0,8.989323251,8.989323251,2,1,24,39
-1,-6.627232795,6.627232795,2,1,24,39
-1,3.112550008,3.112550008,2,1,24,39
1,4.053852717,4.053852717,2,1,24,39
-1,-2.697135101,2.697135101,2,1,24,39
0,2.840424969,2.840424969,2,1,24,39
-1,5.051135384,5.051135384,2,1,24,39
0,1.41678344,1.41678344,2,1,24,39
0,-0.706216439,0.706216439,2,1,24,39
-1,9.660792624,9.660792624,2,1,24,39
,-11.7644119,11.7644119,2,1,24,39
-1,-0.654550042,0.654550042,2,1,24,39
0,-1.382152696,1.382152696,2,1,24,39
0,-0.994779763,0.994779763,2,1,24,39
0,-7.459010469,7.459010469,2,1,24,39
0,5.29907531,5.29907531,2,1,24,39
-1,-3.808372914,3.808372914,2,1,24,39
1,-0.845115776,0.845115776,2,1,24,39
1,9.685392504,9.685392504,2,1,24,39
0,5.268963391,5.268963391,2,1,24,39
0,10.55885021,10.55885021,2,1,24,39
0,2.903705285,2.903705285,2,1,24,39
1,0.134909209,0.134909209,2,1,24,39
-1,-10.56639253,10.56639253,2,1,24,39
1,-7.569061965,7.569061965,2,1,24,39
0,0.504964947,0.504964947,2,1,24,39
0,5.488007789,5.488007789,2,1,24,39
-1,-9.399714876,9.399714876,2,1,24,39
-1,5.626023541,5.626023541,2,1,24,39
0,-0.881202183,0.881202183,2,1,24,39
0,-0.377957375,0.377957375,2,1,24,39
0,2.466806187,2.466806187,2,1,24,39
0,-3.740032024,3.740032024,2,1,24,39
0,2.832160871,2.832160871,2,1,24,39
0,4.871610485,4.871610485,2,1,24,39
-2,1.541369927,1.541369927,2,1,24,39
0,-0.52746424,0.52746424,2,1,24,39
1,5.250861618,5.250861618,2,1,24,39
0,-4.63418806,4.63418806,2,1,24,39
1,-4.552368303,4.552368303,2,1,24,39
0,-1.52236921,1.52236921,2,1,24,39
0,4.150628809,4.150628809,2,1,24,39
0,4.562042445,4.562042445,2,1,24,39
0,-4.383490565,4.383490565,2,1,24,39
0,0.606531081,0.606531081,2,1,24,39
0,-2.464485009,2.464485009,2,1,24,39
0,-0.770956868,0.770956868,2,1,24,39
0,-5.249445725,5.249445725,2,1,24,39
0,1.053873556,1.053873556,2,1,24,39
0,1.43874715,1.43874715,2,1,24,39
-1,10.26912352,10.26912352,2,1,24,39
0,-1.881706197,1.881706197,2,1,24,39
0,-2.975161657,2.975161657,2,1,24,39
0,-2.106278224,2.106278224,2,1,24,39
0,0.55002732,0.55002732,2,1,24,39
-1,-5.212084694,5.212084694,2,1,24,39
0,-3.671242012,3.671242012,2,1,24,39
0,1.556001968,1.556001968,2,1,24,39
0,6.976326239,6.976326239,2,1,24,39
0,-8.496329161,8.496329161,2,1,24,39
0,-5.523126231,5.523126231,2,1,24,39
-2,-7.586173234,7.586173234,2,1,24,39
0,-2.296740572,2.296740572,2,1,24,39
1,4.258508053,4.258508053,2,1,24,39
0,5.270429065,5.270429065,2,1,24,39
0,3.83806002,3.83806002,2,1,24,39
0,-4.199323218,4.199323218,2,1,24,39
0,3.001278761,3.001278761,2,1,24,39
0,2.120580181,2.120580181,2,1,24,39
0,-2.070622864,2.070622864,2,1,24,39
0,-11.59959834,11.59959834,2,1,24,39
1,8.263707278,8.263707278,2,1,24,39
0,-9.834953344,9.834953344,2,1,24,39
0,9.959121287,9.959121287,2,1,24,39
0,-3.252040803,3.252040803,2,1,24,39
1,0.207759957,0.207759957,2,1,24,39
-1,-0.382851318,0.382851318,2,1,24,39
0,12.49475427,12.49475427,2,1,24,39
,0.734201418,0.734201418,3,1,24,36
32,1.275646365,1.275646365,3,1,24,36
,-15.8699939,15.8699939,3,1,24,36
30,5.860968928,5.860968928,3,1,24,36
,-3.100160969,3.100160969,3,1,24,36
30,4.274238952,4.274238952,3,1,24,36
-1,-5.268756421,5.268756421,3,1,24,36
2,-0.117861652,0.117861652,3,1,24,36
10,2.561841135,2.561841135,3,1,24,36
27,1.383637318,1.383637318,3,1,24,36
16,11.09298019,11.09298019,3,1,24,36
77,-11.56596891,11.56596891,3,1,24,36
0,0.353567515,0.353567515,3,1,24,36
0,1.472678881,1.472678881,3,1,24,36
-1,-5.466877678,5.466877678,3,1,24,36
0,-1.622949406,1.622949406,3,1,24,36
20,8.745450569,8.745450569,3,1,24,36
0,-4.810112224,4.810112224,3,1,24,36
0,5.556117594,5.556117594,3,1,24,36
1,2.993308305,2.993308305,3,1,24,36
-1,-5.668293855,5.668293855,3,1,24,36
0,-2.228601078,2.228601078,3,1,24,36
2,7.791529175,7.791529175,3,1,24,36
0,-1.212603044,1.212603044,3,1,24,36
1,1.077546307,1.077546307,3,1,24,36
-1,4.289627843,4.289627843,3,1,24,36
21,6.851628657,6.851628657,3,1,24,36
0,-13.71050528,13.71050528,3,1,24,36
0,5.62445899,5.62445899,3,1,24,36
1,1.46233093,1.46233093,3,1,24,36
1,1.097397437,1.097397437,3,1,24,36
0,-3.263801704,3.263801704,3,1,24,36
0,1.211240633,1.211240633,3,1,24,36
16,3.391841554,3.391841554,3,1,24,36
0,-3.230913445,3.230913445,3,1,24,36
0,0.936233091,0.936233091,3,1,24,36
1,1.156506251,1.156506251,3,1,24,36
4,-1.258785509,1.258785509,3,1,24,36
33,6.830150739,6.830150739,3,1,24,36
15,-8.473828576,8.473828576,3,1,24,36
1,-1.071089833,1.071089833,3,1,24,36
2,-9.283185145,9.283185145,3,1,24,36
19,5.743289662,5.743289662,3,1,24,36
1,-4.485099956,4.485099956,3,1,24,36
0,-1.800644236,1.800644236,3,1,24,36
0,-4.60338133,4.60338133,3,1,24,36
0,-3.352556611,3.352556611,3,1,24,36
0,1.85880381,1.85880381,3,1,24,36
0,5.766809633,5.766809633,3,1,24,36
32,4.351342964,4.351342964,3,1,24,36
1,-1.240993214,1.240993214,3,1,24,36
0,0.923703097,0.923703097,3,1,24,36
0,6.672716983,6.672716983,3,1,24,36
0,6.073149495,6.073149495,3,1,24,36
1,-12.28689045,12.28689045,3,1,24,36
26,-12.95352114,12.95352114,3,1,24,36
1,2.724994965,2.724994965,3,1,24,36
-1,-1.202509224,1.202509224,3,1,24,36
1,-3.520052672,3.520052672,3,1,24,36
0,3.755451353,3.755451353,3,1,24,36
1,0.61263882,0.61263882,3,1,24,36
0,1.669764952,1.669764952,3,1,24,36
1,1.005849488,1.005849488,3,1,24,36
2,-0.135577926,0.135577926,3,1,24,36
25,5.412151082,5.412151082,3,1,24,36
0,-6.24172805,6.24172805,3,1,24,36
0,-6.506169673,6.506169673,3,1,24,36
0,5.955558267,5.955558267,3,1,24,36
0,-6.293218113,6.293218113,3,1,24,36
0,-2.197756489,2.197756489,3,1,24,36
1,1.355564231,1.355564231,3,1,24,36
0,1.588375781,1.588375781,3,1,24,36
0,5.444428208,5.444428208,3,1,24,36
0,-1.307201674,1.307201674,3,1,24,36
0,-2.857187824,2.857187824,3,1,24,36
5,6.973620792,6.973620792,3,1,24,36
0,1.273543756,1.273543756,3,1,24,36
7,-5.144196095,5.144196095,3,1,24,36
1,9.112485157,9.112485157,3,1,24,36
0,0.445807898,0.445807898,3,1,24,36
0,6.004686146,6.004686146,3,1,24,36
0,-4.482628576,4.482628576,3,1,24,36
0,7.444485667,7.444485667,3,1,24,36
0,3.081921169,3.081921169,3,1,24,36
0,-4.342788025,4.342788025,3,1,24,36
0,-2.789890154,2.789890154,3,1,24,36
0,-5.376929241,5.376929241,3,1,24,36
1,4.625078902,4.625078902,3,1,24,36
0,-5.750862346,5.750862346,3,1,24,36
33,2.982543005,2.982543005,3,1,24,36
0,4.298043,4.298043,3,1,24,36
0,-9.427625826,9.427625826,3,1,24,36
0,6.273720339,6.273720339,3,1,24,36
0,2.250108706,2.250108706,3,1,24,36
1,3.506468363,3.506468363,3,1,24,36
0,-9.183457545,9.183457545,3,1,24,36
1,3.795191506,3.795191506,3,1,24,36
0,2.681015346,2.681015346,3,1,24,36
0,-1.261942484,1.261942484,3,1,24,36
0,1.558286856,1.558286856,3,1,24,36
0,-6.896107249,6.896107249,3,1,24,36
0,-2.969108135,2.969108135,3,1,24,36
19,6.749256904,6.749256904,3,1,24,36
1,-1.939302157,1.939302157,3,1,24,36
0,2.620788602,2.620788602,3,1,24,36
0,-1.471019283,1.471019283,3,1,24,36
0,-1.404636645,1.404636645,3,1,24,36
0,0.85296476,0.85296476,3,1,24,36
0,-9.026542516,9.026542516,3,1,24,36
0,7.097127127,7.097127127,3,1,24,36
0,0.433489472,0.433489472,3,1,24,36
8,4.318792188,4.318792188,3,1,24,36
0,4.171441298,4.171441298,3,1,24,36
0,-1.452679125,1.452679125,3,1,24,36
30,-3.862441773,3.862441773,3,1,24,36
0,-1.377227621,1.377227621,3,1,24,36
2,-2.462232382,2.462232382,3,1,24,36
0,2.964928189,2.964928189,3,1,24,36
0,0.34309687,0.34309687,3,1,24,36
0,8.026687842,8.026687842,3,1,24,36
0,3.674816287,3.674816287,3,1,24,36
37,0.366617338,0.366617338,3,1,24,36
,6.093822554,6.093822554,3,1,24,36
0,-8.407225221,8.407225221,3,1,24,36
0,-5.324458538,5.324458538,3,1,24,36
0,-6.884148866,6.884148866,3,1,24,36
1,6.121557946,6.121557946,3,1,24,36
0,-0.387440637,0.387440637,3,1,24,36
0,0.023904374,0.023904374,3,1,24,36
0,3.337568219,3.337568219,3,1,24,36
1,4.497428498,4.497428498,3,1,24,36
2,6.879830013,6.879830013,3,1,24,36
0,2.041935782,2.041935782,3,1,24,36
0,-10.41565792,10.41565792,3,1,24,36
1,0.173505348,0.173505348,3,1,24,36
1,-6.704125702,6.704125702,3,1,24,36
0,1.941523508,1.941523508,3,1,24,36
2,-2.750258044,2.750258044,3,1,24,36
0,-0.057919803,0.057919803,3,1,24,36
2,9.7635396,9.7635396,3,1,24,36
0,9.042029706,9.042029706,3,1,24,36
1,-1.745630849,1.745630849,3,1,24,36
0,-2.87265832,2.87265832,3,1,24,36
0,1.109057122,1.109057122,3,1,24,36
0,-1.383511575,1.383511575,3,1,24,36
0,-8.981623776,8.981623776,3,1,24,36
1,6.444889159,6.444889159,3,1,24,36
0,-3.390253484,3.390253484,3,1,24,36
,-2.769087488,2.769087488,3,1,24,36
39,5.77120861,5.77120861,3,1,24,36
0,-2.418201511,2.418201511,3,1,24,36
0,2.558388303,2.558388303,3,1,24,36
0,-2.616829125,2.616829125,3,1,24,36
1,2.061073958,2.061073958,3,1,24,36
0,-13.35183105,13.35183105,3,1,24,36
0,3.227971382,3.227971382,3,1,24,36
0,-6.214111112,6.214111112,3,1,24,36
0,3.3988723,3.3988723,3,1,24,36
0,3.754405993,3.754405993,3,1,24,36
0,8.912717108,8.912717108,3,1,24,36
,-1.868995871,1.868995871,3,1,24,36
1,0.592100395,0.592100395,3,1,24,36
0,0.059258298,0.059258298,3,1,24,36
0,3.44805623,3.44805623,3,1,24,36
0,3.16742765,3.16742765,3,1,24,36
,-0.321255847,0.321255847,3,1,24,36
0,-3.932373641,3.932373641,3,1,24,36
0,-1.049024715,1.049024715,3,1,24,36
0,-1.529818891,1.529818891,3,1,24,36
1,4.741949092,4.741949092,3,1,24,36
0,5.003057282,5.003057282,3,1,24,36
0,-1.191204454,1.191204454,3,1,24,36
1,-4.575512311,4.575512311,3,1,24,36
0,9.306343419,9.306343419,3,1,24,36
1,-2.058444778,2.058444778,3,1,24,36
0,2.035147488,2.035147488,3,1,24,36
59,-4.277316694,4.277316694,3,1,24,36
1,-1.512519316,1.512519316,3,1,24,36
0,-8.560625453,8.560625453,3,1,24,36
1,-1.055634941,1.055634941,3,1,24,36
2,0.81761233,0.81761233,3,1,24,36
0,-3.968404421,3.968404421,3,1,24,36
1,-2.14125033,2.14125033,3,1,24,36
2,2.798353542,2.798353542,3,1,24,36
0,3.406045416,3.406045416,3,1,24,36
0,-0.857123592,0.857123592,3,1,24,36
0,2.504870344,2.504870344,3,1,24,36
0,-9.440471416,9.440471416,3,1,24,36
0,8.855338612,8.855338612,3,1,24,36
0,11.77900915,11.77900915,3,1,24,36
2,6.019852959,6.019852959,3,1,24,36
0,-10.39808616,10.39808616,3,1,24,36
1,0.935251058,0.935251058,3,1,24,36
0,3.024795714,3.024795714,3,1,24,36
0,-0.501915187,0.501915187,3,1,24,36
0,-11.53976232,11.53976232,3,1,24,36
0,3.088128391,3.088128391,3,1,24,36
0,-1.579518094,1.579518094,3,1,24,36
1,-0.776488158,0.776488158,3,1,24,36
0,3.334448223,3.334448223,3,1,24,36
51,7.352362506,7.352362506,4,1,20,59
0,3.302374851,3.302374851,4,1,20,59
-1,1.198850759,1.198850759,4,1,20,59
0,1.851489238,1.851489238,4,1,20,59
,-3.003527447,3.003527447,4,1,20,59
0,0.434649261,0.434649261,4,1,20,59
48,-7.396147528,7.396147528,4,1,20,59
2,-3.075858158,3.075858158,4,1,20,59
0,2.673830265,2.673830265,4,1,20,59
0,-2.757603746,2.757603746,4,1,20,59
0,1.127771019,1.127771019,4,1,20,59
0,7.630836674,7.630836674,4,1,20,59
0,-0.983748024,0.983748024,4,1,20,59
34,6.399166225,6.399166225,4,1,20,59
9,-1.822279108,1.822279108,4,1,20,59
0,1.061581179,1.061581179,4,1,20,59
28,-10.62018635,10.62018635,4,1,20,59
36,1.965274091,1.965274091,4,1,20,59
25,9.594294558,9.594294558,4,1,20,59
