wtp,vMC,aMC,subj,gender,age,ChangeAnxiety,group
2,3.610994921,3.610994921,1,2,28,4,0
6,3.336604789,3.336604789,1,2,28,4,0
3,-0.684981268,0.684981268,1,2,28,4,0
4,-1.59084615,1.59084615,1,2,28,4,0
0,-7.315732379,7.315732379,1,2,28,4,0
0,-2.981488672,2.981488672,1,2,28,4,0
2,4.873052005,4.873052005,1,2,28,4,0
4,6.083985055,6.083985055,1,2,28,4,0
2,-2.245318454,2.245318454,1,2,28,4,0
2,-15.9211455,15.9211455,1,2,28,4,0
2,5.587981977,5.587981977,1,2,28,4,0
7,4.790005302,4.790005302,1,2,28,4,0
3,-1.34173762,1.34173762,1,2,28,4,0
1,0.689939199,0.689939199,1,2,28,4,0
2,-0.372089343,0.372089343,1,2,28,4,0
4,6.034638443,6.034638443,1,2,28,4,0
2,3.972432572,3.972432572,1,2,28,4,0
1,3.159223207,3.159223207,1,2,28,4,0
1,4.482404619,4.482404619,1,2,28,4,0
0,5.560757694,5.560757694,1,2,28,4,0
1,-5.666545391,5.666545391,1,2,28,4,0
2,-6.132567703,6.132567703,1,2,28,4,0
3,1.26847067,1.26847067,1,2,28,4,0
4,-0.060139599,0.060139599,1,2,28,4,0
6,-13.87649388,13.87649388,1,2,28,4,0
2,3.526346021,3.526346021,1,2,28,4,0
2,1.733385414,1.733385414,1,2,28,4,0
4,11.29435654,11.29435654,1,2,28,4,0
5,3.811610795,3.811610795,1,2,28,4,0
4,-6.754668704,6.754668704,1,2,28,4,0
6,-7.023069339,7.023069339,1,2,28,4,0
2,2.191172194,2.191172194,1,2,28,4,0
2,5.017031571,5.017031571,1,2,28,4,0
3,-12.58902302,12.58902302,1,2,28,4,0
3,9.514299405,9.514299405,1,2,28,4,0
4,4.226481884,4.226481884,1,2,28,4,0
2,-5.562366031,5.562366031,1,2,28,4,0
3,6.836171127,6.836171127,1,2,28,4,0
1,-0.300836724,0.300836724,1,2,28,4,0
1,0.361158389,0.361158389,1,2,28,4,0
2,9.2069386,9.2069386,1,2,28,4,0
5,-7.901773192,7.901773192,1,2,28,4,0
7,1.91591395,1.91591395,1,2,28,4,0
2,-3.880324161,3.880324161,1,2,28,4,0
4,10.29828675,10.29828675,1,2,28,4,0
3,0.830514209,0.830514209,1,2,28,4,0
4,2.309451766,2.309451766,1,2,28,4,0
2,-6.633870508,6.633870508,1,2,28,4,0
5,3.105724913,3.105724913,1,2,28,4,0
2,-8.016269699,8.016269699,1,2,28,4,0
4,3.468939526,3.468939526,1,2,28,4,0
0,7.121515018,7.121515018,1,2,28,4,0
0,-2.960062971,2.960062971,1,2,28,4,0
3,1.045340256,1.045340256,1,2,28,4,0
0,-8.359192312,8.359192312,1,2,28,4,0
4,-0.631383432,0.631383432,1,2,28,4,0
1,10.30981095,10.30981095,1,2,28,4,0
3,-1.357233372,1.357233372,1,2,28,4,0
4,1.155263353,1.155263353,1,2,28,4,0
0,-4.818132829,4.818132829,1,2,28,4,0
4,-3.383828757,3.383828757,1,2,28,4,0
2,-0.919980398,0.919980398,1,2,28,4,0
0,-5.252448602,5.252448602,1,2,28,4,0
4,5.229730156,5.229730156,1,2,28,4,0
1,1.45670194,1.45670194,1,2,28,4,0
1,2.675833318,2.675833318,1,2,28,4,0
6,6.283102844,6.283102844,1,2,28,4,0
0,-10.90603501,10.90603501,2,1,20,6,1
0,-5.578921603,5.578921603,2,1,20,6,1
-5,4.297694282,4.297694282,2,1,20,6,1
-1,-4.942113157,4.942113157,2,1,20,6,1
0,2.513621737,2.513621737,2,1,20,6,1
0,-3.224808623,3.224808623,2,1,20,6,1
0,0.669333282,0.669333282,2,1,20,6,1
0,2.180035255,2.180035255,2,1,20,6,1
0,6.896694602,6.896694602,2,1,20,6,1
0,7.765683098,7.765683098,2,1,20,6,1
0,0.099347962,0.099347962,2,1,20,6,1
0,-4.343694177,4.343694177,2,1,20,6,1
0,-4.236361286,4.236361286,2,1,20,6,1
0,-5.13221903,5.13221903,2,1,20,6,1
0,-0.505130683,0.505130683,2,1,20,6,1
1,9.51523858,9.51523858,2,1,20,6,1
0,-2.169478815,2.169478815,2,1,20,6,1
0,6.045284688,6.045284688,2,1,20,6,1
0,-2.538868097,2.538868097,2,1,20,6,1
0,1.417102467,1.417102467,2,1,20,6,1
0,2.163610721,2.163610721,2,1,20,6,1
0,1.493364141,1.493364141,2,1,20,6,1
0,0.871405783,0.871405783,2,1,20,6,1
0,2.279699902,2.279699902,2,1,20,6,1
0,4.723949307,4.723949307,2,1,20,6,1
0,4.203043961,4.203043961,2,1,20,6,1
0,-2.977161887,2.977161887,2,1,20,6,1
0,6.342371595,6.342371595,2,1,20,6,1
0,-3.117978912,3.117978912,2,1,20,6,1
0,-3.496343118,3.496343118,2,1,20,6,1
0,-0.906515463,0.906515463,2,1,20,6,1
1,-0.028564379,0.028564379,2,1,20,6,1
0,0.761415849,0.761415849,2,1,20,6,1
0,-8.392799372,8.392799372,2,1,20,6,1
0,-3.36065049,3.36065049,2,1,20,6,1
0,6.471427154,6.471427154,2,1,20,6,1
0,-10.70573458,10.70573458,2,1,20,6,1
0,0.189982759,0.189982759,2,1,20,6,1
0,2.545395487,2.545395487,2,1,20,6,1
0,5.52304684,5.52304684,2,1,20,6,1
0,9.351272701,9.351272701,2,1,20,6,1
1,-1.267013039,1.267013039,2,1,20,6,1
0,-2.862474757,2.862474757,2,1,20,6,1
1,2.890897414,2.890897414,2,1,20,6,1
-1,-4.275263856,4.275263856,2,1,20,6,1
0,0.485988241,0.485988241,2,1,20,6,1
0,0.335291775,0.335291775,2,1,20,6,1
0,4.415672066,4.415672066,2,1,20,6,1
-1,-8.114334757,8.114334757,2,1,20,6,1
-1,3.80083922,3.80083922,2,1,20,6,1
4,7.467202953,7.467202953,2,1,20,6,1
-5,-13.85250084,13.85250084,2,1,20,6,1
-3,-1.056648356,1.056648356,2,1,20,6,1
0,3.682885421,3.682885421,2,1,20,6,1
-1,-3.07257422,3.07257422,2,1,20,6,1
-1,2.234292999,2.234292999,2,1,20,6,1
0,1.693988906,1.693988906,2,1,20,6,1
0,-6.564985575,6.564985575,2,1,20,6,1
0,-0.543620023,0.543620023,2,1,20,6,1
0,7.245917126,7.245917126,2,1,20,6,1
0,-7.490236568,7.490236568,2,1,20,6,1
0,1.55497243,1.55497243,2,1,20,6,1
0,-0.32960288,0.32960288,2,1,20,6,1
0,2.012925808,2.012925808,2,1,20,6,1
0,-1.172801328,1.172801328,2,1,20,6,1
0,-4.559874821,4.559874821,2,1,20,6,1
0,18.30489261,18.30489261,2,1,20,6,1
0,1.487416316,1.487416316,2,1,20,6,1
0,-6.834352927,6.834352927,2,1,20,6,1
0,0.474872373,0.474872373,2,1,20,6,1
-1,-1.274023485,1.274023485,2,1,20,6,1
0,8.980518071,8.980518071,2,1,20,6,1
0,4.34008754,4.34008754,2,1,20,6,1
0,-12.17577642,12.17577642,2,1,20,6,1
0,-1.138241703,1.138241703,2,1,20,6,1
0,2.537249284,2.537249284,2,1,20,6,1
0,2.935015588,2.935015588,2,1,20,6,1
0,9.145620998,9.145620998,2,1,20,6,1
0,-6.80165894,6.80165894,2,1,20,6,1
0,1.803945857,1.803945857,2,1,20,6,1
0,-5.764610487,5.764610487,2,1,20,6,1
0,9.759301145,9.759301145,2,1,20,6,1
0,-2.117521343,2.117521343,2,1,20,6,1
0,-5.818386139,5.818386139,2,1,20,6,1
0,-6.576119545,6.576119545,2,1,20,6,1
0,-2.741635443,2.741635443,2,1,20,6,1
-3,-0.43516555,0.43516555,2,1,20,6,1
0,2.72387206,2.72387206,2,1,20,6,1
0,-9.110950899,9.110950899,2,1,20,6,1
0,0.214579351,0.214579351,2,1,20,6,1
0,-1.38506198,1.38506198,2,1,20,6,1
-1,7.297235905,7.297235905,2,1,20,6,1
0,-6.708447513,6.708447513,2,1,20,6,1
0,-4.963667192,4.963667192,2,1,20,6,1
0,1.920878482,1.920878482,2,1,20,6,1
0,5.292942182,5.292942182,2,1,20,6,1
0,3.599106981,3.599106981,2,1,20,6,1
0,1.513540808,1.513540808,2,1,20,6,1
0,-3.661436612,3.661436612,2,1,20,6,1
0,3.185449487,3.185449487,2,1,20,6,1
0,-6.097330126,6.097330126,2,1,20,6,1
3,6.200654725,6.200654725,2,1,20,6,1
2,-2.218198453,2.218198453,2,1,20,6,1
2,-3.721812445,3.721812445,2,1,20,6,1
2,2.784524737,2.784524737,2,1,20,6,1
0,-5.318579581,5.318579581,2,1,20,6,1
1,1.511769991,1.511769991,2,1,20,6,1
0,-1.529381093,1.529381093,2,1,20,6,1
0,-2.477778629,2.477778629,2,1,20,6,1
0,4.916679022,4.916679022,2,1,20,6,1
0,8.906008414,8.906008414,2,1,20,6,1
1,6.567033853,6.567033853,2,1,20,6,1
0,1.119725915,1.119725915,2,1,20,6,1
0,-3.609269228,3.609269228,2,1,20,6,1
0,-0.092368731,0.092368731,2,1,20,6,1
0,-8.719217815,8.719217815,2,1,20,6,1
0,-4.351069057,4.351069057,2,1,20,6,1
0,-0.653359046,0.653359046,2,1,20,6,1
0,-3.786008744,3.786008744,2,1,20,6,1
0,3.210735339,3.210735339,2,1,20,6,1
0,-9.375765458,9.375765458,2,1,20,6,1
-1,5.177909105,5.177909105,2,1,20,6,1
1,-6.324082898,6.324082898,2,1,20,6,1
-1,14.22642442,14.22642442,2,1,20,6,1
0,9.441205571,9.441205571,2,1,20,6,1
1,10.91446142,10.91446142,2,1,20,6,1
1,-1.707875111,1.707875111,2,1,20,6,1
0,-0.963313696,0.963313696,2,1,20,6,1
1,-4.64439961,4.64439961,2,1,20,6,1
0,0.916044,0.916044,2,1,20,6,1
-1,1.67329601,1.67329601,2,1,20,6,1
0,-2.432092302,2.432092302,2,1,20,6,1
0,-8.054859101,8.054859101,2,1,20,6,1
0,-1.71840981,1.71840981,2,1,20,6,1
1,0.115348017,0.115348017,2,1,20,6,1
0,5.521313156,5.521313156,2,1,20,6,1
0,-5.921768923,5.921768923,2,1,20,6,1
0,4.404401906,4.404401906,2,1,20,6,1
0,-5.302512169,5.302512169,2,1,20,6,1
0,3.740641876,3.740641876,2,1,20,6,1
0,-10.35640132,10.35640132,2,1,20,6,1
0,4.336591832,4.336591832,2,1,20,6,1
0,8.506851179,8.506851179,2,1,20,6,1
0,7.541806683,7.541806683,2,1,20,6,1
-1,3.183196524,3.183196524,2,1,20,6,1
0,-0.772311592,0.772311592,2,1,20,6,1
0,-5.03674399,5.03674399,2,1,20,6,1
0,-8.446626581,8.446626581,2,1,20,6,1
0,-1.411141634,1.411141634,2,1,20,6,1
0,1.410948988,1.410948988,2,1,20,6,1
0,-4.207277235,4.207277235,2,1,20,6,1
-1,-12.87461,12.87461,2,1,20,6,1
0,2.089216592,2.089216592,2,1,20,6,1
0,-0.865111489,0.865111489,2,1,20,6,1
0,5.992011804,5.992011804,2,1,20,6,1
0,-7.176069257,7.176069257,2,1,20,6,1
0,3.258435425,3.258435425,2,1,20,6,1
0,11.51155696,11.51155696,2,1,20,6,1
0,7.003923824,7.003923824,2,1,20,6,1
0,8.454726024,8.454726024,2,1,20,6,1
0,-5.635799725,5.635799725,2,1,20,6,1
0,-12.88744695,12.88744695,2,1,20,6,1
0,7.31090832,7.31090832,2,1,20,6,1
0,7.478026839,7.478026839,2,1,20,6,1
-2,2.590783184,2.590783184,2,1,20,6,1
0,-13.46511306,13.46511306,2,1,20,6,1
0,3.181514412,3.181514412,2,1,20,6,1
0,-1.895940357,1.895940357,2,1,20,6,1
0,-6.308991714,6.308991714,2,1,20,6,1
0,-3.347339183,3.347339183,2,1,20,6,1
0,0.694053897,0.694053897,2,1,20,6,1
0,-1.490770757,1.490770757,2,1,20,6,1
0,8.71555267,8.71555267,2,1,20,6,1
0,-1.589126705,1.589126705,2,1,20,6,1
0,5.140273971,5.140273971,2,1,20,6,1
0,6.970019966,6.970019966,2,1,20,6,1
0,-0.804812431,0.804812431,2,1,20,6,1
0,1.426556956,1.426556956,2,1,20,6,1
0,-4.088999521,4.088999521,2,1,20,6,1
0,-3.471189602,3.471189602,2,1,20,6,1
0,4.281837837,4.281837837,2,1,20,6,1
0,-1.809984867,1.809984867,2,1,20,6,1
0,-4.028414822,4.028414822,2,1,20,6,1
0,0.782644892,0.782644892,2,1,20,6,1
0,5.097749265,5.097749265,2,1,20,6,1
0,1.41987645,1.41987645,2,1,20,6,1
0,-3.486067698,3.486067698,2,1,20,6,1
0,-0.254095641,0.254095641,2,1,20,6,1
0,-2.559403535,2.559403535,2,1,20,6,1
0,-4.725572838,4.725572838,2,1,20,6,1
0,-5.56983427,5.56983427,2,1,20,6,1
0,-1.363562497,1.363562497,2,1,20,6,1
-1,-3.645704086,3.645704086,2,1,20,6,1
0,-2.247144786,2.247144786,2,1,20,6,1
0,4.972440498,4.972440498,2,1,20,6,1
0,-0.910295086,0.910295086,2,1,20,6,1
-1,3.93267915,3.93267915,2,1,20,6,1
-1,-0.095760823,0.095760823,2,1,20,6,1
0,-7.561445092,7.561445092,2,1,20,6,1
0,3.969159549,3.969159549,2,1,20,6,1
-18,-6.158911348,6.158911348,3,1,20,15,1
14,7.169774984,7.169774984,3,1,20,15,1
42,-11.42839991,11.42839991,3,1,20,15,1
27,5.512679289,5.512679289,3,1,20,15,1
43,-4.088570444,4.088570444,3,1,20,15,1
32,8.256892849,8.256892849,3,1,20,15,1
38,3.046670742,3.046670742,3,1,20,15,1
14,0.952380579,0.952380579,3,1,20,15,1
-20,-0.88033893,0.88033893,3,1,20,15,1
32,6.998354672,6.998354672,3,1,20,15,1
30,2.411054782,2.411054782,3,1,20,15,1
28,4.91664899,4.91664899,3,1,20,15,1
32,-3.231398034,3.231398034,3,1,20,15,1
44,3.524927157,3.524927157,3,1,20,15,1
-43,-2.529594299,2.529594299,3,1,20,15,1
-26,-2.460929509,2.460929509,3,1,20,15,1
-62,-0.215825631,0.215825631,3,1,20,15,1
57,-8.875093111,8.875093111,3,1,20,15,1
16,-3.597610027,3.597610027,3,1,20,15,1
32,0.969554467,0.969554467,3,1,20,15,1
0,-3.435023571,3.435023571,3,1,20,15,1
0,2.776242978,2.776242978,3,1,20,15,1
0,-1.518348262,1.518348262,3,1,20,15,1
0,1.676568548,1.676568548,3,1,20,15,1
35,-5.097894809,5.097894809,3,1,20,15,1
0,2.013332177,2.013332177,3,1,20,15,1
0,-2.995914361,2.995914361,3,1,20,15,1
0,5.241553003,5.241553003,3,1,20,15,1
0,7.974819235,7.974819235,3,1,20,15,1
27,0.933714205,0.933714205,3,1,20,15,1
19,0.829199462,0.829199462,3,1,20,15,1
0,0.737651495,0.737651495,3,1,20,15,1
25,-2.654117564,2.654117564,3,1,20,15,1
59,-9.534651081,9.534651081,3,1,20,15,1
41,2.703126096,2.703126096,3,1,20,15,1
0,-1.018863048,1.018863048,3,1,20,15,1
0,-4.468776815,4.468776815,3,1,20,15,1
0,-0.785279241,0.785279241,3,1,20,15,1
0,-6.220762171,6.220762171,3,1,20,15,1
0,-1.995697377,1.995697377,3,1,20,15,1
44,-2.239922267,2.239922267,3,1,20,15,1
-26,8.666050474,8.666050474,3,1,20,15,1
-26,-1.186212951,1.186212951,3,1,20,15,1
1,4.000162679,4.000162679,3,1,20,15,1
0,0.079652007,0.079652007,3,1,20,15,1
30,7.220731413,7.220731413,3,1,20,15,1
34,-1.488140327,1.488140327,3,1,20,15,1
14,6.625876782,6.625876782,3,1,20,15,1
2,-11.00049546,11.00049546,3,1,20,15,1
21,-6.222341336,6.222341336,3,1,20,15,1
0,1.801379924,1.801379924,3,1,20,15,1
0,-3.404569897,3.404569897,3,1,20,15,1
0,-0.666544644,0.666544644,3,1,20,15,1
0,0.527332421,0.527332421,3,1,20,15,1
0,1.328680435,1.328680435,3,1,20,15,1
0,-0.192530382,0.192530382,3,1,20,15,1
0,7.325771823,7.325771823,3,1,20,15,1
8,-9.983069883,9.983069883,3,1,20,15,1
0,3.367057262,3.367057262,3,1,20,15,1
0,2.560700635,2.560700635,3,1,20,15,1
0,-1.627201331,1.627201331,3,1,20,15,1
14,-0.984952628,0.984952628,3,1,20,15,1
0,-2.732682633,2.732682633,3,1,20,15,1
,-5.713919832,5.713919832,3,1,20,15,1
17,-2.667337809,2.667337809,3,1,20,15,1
-99,-5.585544352,5.585544352,3,1,20,15,1
-99,5.186104347,5.186104347,3,1,20,15,1
-99,-2.3536448,2.3536448,3,1,20,15,1
-99,7.622662933,7.622662933,3,1,20,15,1
0,11.27234773,11.27234773,3,1,20,15,1
-99,-7.584578377,7.584578377,3,1,20,15,1
-99,-2.855962982,2.855962982,3,1,20,15,1
0,1.411479559,1.411479559,3,1,20,15,1
-99,0.708627592,0.708627592,3,1,20,15,1
11,3.383190817,3.383190817,3,1,20,15,1
6,-4.060463453,4.060463453,3,1,20,15,1
-49,-6.402532763,6.402532763,3,1,20,15,1
-75,2.18000913,2.18000913,3,1,20,15,1
-25,-3.71939486,3.71939486,3,1,20,15,1
0,6.888645553,6.888645553,3,1,20,15,1
1,-11.82205934,11.82205934,3,1,20,15,1
26,-0.392583733,0.392583733,3,1,20,15,1
28,2.517094418,2.517094418,3,1,20,15,1
-99,1.857364587,1.857364587,3,1,20,15,1
-99,-1.144181518,1.144181518,3,1,20,15,1
-50,1.114474222,1.114474222,3,1,20,15,1
-71,5.226282949,5.226282949,3,1,20,15,1
-99,0.97649412,0.97649412,3,1,20,15,1
20,-8.886924474,8.886924474,3,1,20,15,1
-54,4.825011186,4.825011186,3,1,20,15,1
-79,-6.431316761,6.431316761,3,1,20,15,1
32,9.193308142,9.193308142,3,1,20,15,1
28,3.461662355,3.461662355,3,1,20,15,1
48,2.308864728,2.308864728,3,1,20,15,1
49,4.289003649,4.289003649,3,1,20,15,1
-88,-3.032127929,3.032127929,3,1,20,15,1
-99,-11.25907574,11.25907574,3,1,20,15,1
-99,0.858023551,0.858023551,3,1,20,15,1
-1,1.75731554,1.75731554,3,1,20,15,1
89,-0.662112264,0.662112264,3,1,20,15,1
0,-1.87327883,1.87327883,3,1,20,15,1
0,-2.596408677,2.596408677,3,1,20,15,1
9,-2.581633189,2.581633189,3,1,20,15,1
0,0.562578233,0.562578233,3,1,20,15,1
26,-2.805466838,2.805466838,3,1,20,15,1
0,-3.71198718,3.71198718,3,1,20,15,1
0,0.397129023,0.397129023,3,1,20,15,1
9,-4.924894525,4.924894525,3,1,20,15,1
0,1.438526688,1.438526688,3,1,20,15,1
1,10.36442451,10.36442451,3,1,20,15,1
10,-1.621724337,1.621724337,3,1,20,15,1
23,1.461616631,1.461616631,3,1,20,15,1
-48,-7.099873218,7.099873218,3,1,20,15,1
20,7.581511443,7.581511443,3,1,20,15,1
1,5.958533417,5.958533417,3,1,20,15,1
-37,3.763553971,3.763553971,3,1,20,15,1
0,-2.065130046,2.065130046,3,1,20,15,1
-10,3.204473133,3.204473133,3,1,20,15,1
-39,3.175275645,3.175275645,3,1,20,15,1
-44,-1.261582399,1.261582399,3,1,20,15,1
29,3.431165824,3.431165824,3,1,20,15,1
0,-7.935260175,7.935260175,3,1,20,15,1
30,-2.202685328,2.202685328,3,1,20,15,1
20,-2.317618544,2.317618544,3,1,20,15,1
-40,0.973240116,0.973240116,3,1,20,15,1
0,-2.630494635,2.630494635,3,1,20,15,1
3,-6.428883282,6.428883282,3,1,20,15,1
-49,2.661200972,2.661200972,3,1,20,15,1
4,-5.946407299,5.946407299,3,1,20,15,1
16,3.988761385,3.988761385,3,1,20,15,1
0,4.998107889,4.998107889,3,1,20,15,1
47,-6.218674831,6.218674831,3,1,20,15,1
35,9.169231684,9.169231684,3,1,20,15,1
30,1.936827976,1.936827976,3,1,20,15,1
23,-0.299074024,0.299074024,3,1,20,15,1
31,1.946026766,1.946026766,3,1,20,15,1
28,-2.896785804,2.896785804,3,1,20,15,1
25,3.568932043,3.568932043,3,1,20,15,1
26,0.522379356,0.522379356,3,1,20,15,1
49,-0.188846793,0.188846793,3,1,20,15,1
40,2.333934514,2.333934514,3,1,20,15,1
44,6.796386578,6.796386578,3,1,20,15,1
19,4.772394279,4.772394279,3,1,20,15,1
54,-12.9324508,12.9324508,3,1,20,15,1
68,11.81095749,11.81095749,3,1,20,15,1
17,-2.856079966,2.856079966,3,1,20,15,1
-1,0.472088915,0.472088915,3,1,20,15,1
81,0.602091713,0.602091713,3,1,20,15,1
-93,-6.560935947,6.560935947,3,1,20,15,1
93,8.093536503,8.093536503,3,1,20,15,1
-99,1.048043998,1.048043998,3,1,20,15,1
0,8.383143449,8.383143449,3,1,20,15,1
0,4.988347633,4.988347633,3,1,20,15,1
0,-6.03419717,6.03419717,3,1,20,15,1
-28,3.496823871,3.496823871,3,1,20,15,1
0,-0.708428435,0.708428435,3,1,20,15,1
-54,-12.76749033,12.76749033,3,1,20,15,1
-42,-3.115758719,3.115758719,3,1,20,15,1
18,5.902682075,5.902682075,3,1,20,15,1
0,-3.582674214,3.582674214,3,1,20,15,1
-80,-8.571440677,8.571440677,3,1,20,15,1
6,-3.925658856,3.925658856,3,1,20,15,1
-25,6.759316438,6.759316438,3,1,20,15,1
-22,-2.720810705,2.720810705,3,1,20,15,1
30,-5.252408447,5.252408447,3,1,20,15,1
20,5.795105561,5.795105561,3,1,20,15,1
