ProlificID,Age,Gender.1.Male,HouseholdIncome,Education,PoliticalOrientation,COVID19Consumption,AnxietyOwnHealth,AnxietyLovedOnes,AnxietyLockdown,AnxietyIncome,AnxietyExercise,AnxietySupplies,AnxietySocializing,Anxiety_factor_noSTAI,Anxiety_factor_STAI,STAI_Score,STAI_scaled,Dependents,HealthCareInsuranceSatisfaction,Ethnicity
65,22,1,8,3,1,5,75,99,59,66,100,55,100,79.14285714,74.11111111,43.33333333,38.88888888,2,3,1
66,23,2,3,3,1,4,59,65,68,87,47,62,73,65.85714286,65.26388889,56.66666667,61.11111112,2,2,1
67,62,1,5,4,1,4,58,91,20,71,4,51,52,49.57142857,44.06944444,23.33333333,5.55555555,2,3,1
68,18,2,3,1,1,2,14,72,0,70,0,69,18,34.71428571,33.15277778,33.33333333,22.22222222,2,3,1
69,28,2,6,3,1,5,68,99,53,65,8,29,13,47.85714286,46.04166667,40,33.33333333,2,3,1
70,20,1,6,3,1,4,38,70,44,13,0,40,45,35.71428571,33.33333333,30,16.66666667,2,3,1
71,18,2,8,1,1,4,61,66,42,56,20,75,57,53.85714286,49.90277778,33.33333333,22.22222222,1,4,1
72,50,1,5,3,2,5,29,21,30,18,49,26,46,31.28571429,32.23611111,43.33333333,38.88888888,2,2,1
73,19,1,2,1,1,4,69,97,85,97,71,100,97,88,83.25,50,50,2,2,1
74,29,1,6,3,1,5,71,100,0,51,18,35,0,39.28571429,40.625,50,50,2,4,1
75,68,1,4,3,1,4,4,59,60,59,41,51,59,47.57142857,43.70833333,30,16.66666667,2,4,1
76,19,1,8,1,1,5,33,73,40,33,84,68,75,58,56.30555556,46.66666667,44.44444445,2,3,1
77,50,2,6,3,2,5,87,98,15,68,42,67,56,61.85714286,61.76388889,56.66666667,61.11111112,1,3,1
78,21,2,5,1,1,4,52,88,76,99,6,76,77,67.71428571,67.58333333,60,66.66666667,2,3,1
79,22,1,8,2,1,4,62,83,19,72,71,58,76,63,57.90277778,33.33333333,22.22222222,2,3,1
80,40,2,5,3,1,5,15,15,78,77,0,32,0,31,29.20833333,30,16.66666667,1,3,1
81,23,1,4,1,1,4,79,80,81,97,0,61,12,58.57142857,54.72222222,36.66666667,27.77777778,2,3,1
82,47,1,1,3,1,4,33,79,52,100,73,73,0,58.57142857,53.33333333,30,16.66666667,2,4,2
83,39,2,1,1,2,5,60,61,86,77,33,65,81,66.14285714,69.68055556,76.66666667,94.44444445,2,1,2
84,38,1,3,3,1,5,96,98,100,100,99,94,6,84.71428571,83.84722222,66.66666667,77.77777778,2,3,2
85,50,1,6,3,1,5,69,96,61,64,20,33,32,53.57142857,50.34722222,36.66666667,27.77777778,1,3,2
86,43,2,4,3,2,5,100,100,84,100,20,100,74,82.57142857,76.41666667,40,33.33333333,1,3,2
87,40,1,6,3,1,5,12,45,0,0,0,0,0,8.142857143,7.125,20,0,2,4,2
88,63,2,4,4,1,4,63,76,0,74,49,51,51,52,48.27777778,33.33333333,22.22222222,1,3,2
89,48,2,1,1,1,4,43,56,21,0,0,20,0,20,26.52777778,63.33333333,72.22222222,2,1,2
90,37,1,5,3,1,5,71,65,58,66,65,54,51,61.42857143,60,50,50,2,3,2
91,27,2,4,3,1,6,100,100,100,46,0,89,72,72.42857143,69.625,50,50,2,4,2
92,29,1,3,1,1,4,91,100,68,84,86,79,35,77.57142857,77.59722222,66.66666667,77.77777778,2,1,2
93,26,1,5,3,1,4,64,70,73,78,59,51,58,64.71428571,58.70833333,30,16.66666667,2,3,2
94,29,1,4,2,1,5,31,58,0,74,15,51,0,32.71428571,31.40277778,33.33333333,22.22222222,1,1,2
95,47,1,6,1,1,5,100,100,100,100,0,100,83,83.28571429,74.95833333,30,16.66666667,2,3,2
96,19,2,8,2,2,5,65,98,84,100,0,65,5,59.57142857,61.15277778,63.33333333,72.22222222,2,3,2
97,35,1,4,3,1,4,85,95,39,53,42,32,67,59,53.70833333,30,16.66666667,2,3,2
98,18,2,3,1,1,4,57,83,78,75,34,77,81,69.28571429,70.34722222,66.66666667,77.77777778,2,3,2
99,40,2,5,1,1,4,73,82,68,80,21,87,65,68,67.13888889,56.66666667,61.11111112,1,3,2
100,26,1,1,1,1,5,100,100,35,89,0,80,0,57.71428571,60.22222222,66.66666667,77.77777778,2,4,2
101,54,2,2,1,2,6,100,100,100,100,2,100,16,74,77.25,80,100,1,2,2
102,23,1,7,2,1,5,53,71,43,74,50,64,60,59.28571429,58.125,50,50,2,3,2
103,46,1,4,3,1,5,94,100,100,27,0,19,69,58.42857143,58.76388889,56.66666667,61.11111112,1,3,2
104,58,2,5,4,1,5,21,81,22,80,8,71,16,42.71428571,40.15277778,33.33333333,22.22222222,2,3,2
105,58,2,3,3,1,5,51,51,76,22,3,3,51,36.71428571,32.125,20,0,2,3,2
106,48,2,4,2,1,4,75,75,33,90,66,67,11,59.57142857,60.45833333,60,66.66666667,1,3,2
107,41,2,8,4,1,6,100,100,0,100,0,24,0,46.28571429,46.75,50,50,1,3,2
108,45,2,6,3,2,4,72,84,78,96,94,80,94,85.42857143,84.47222222,66.66666667,77.77777778,1,3,2
109,24,1,4,1,1,4,63,63,53,44,52,52,52,54.14285714,51.54166667,40,33.33333333,2,2,2
110,29,1,3,2,2,5,46,84,7,79,16,77,0,44.14285714,43.48611111,43.33333333,38.88888888,1,3,2
111,73,1,2,3,1,4,53,53,43,72,44,45,48,51.14285714,50.30555556,46.66666667,44.44444445,2,3,2
112,23,1,8,1,1,5,65,64,0,63,28,30,0,35.71428571,36.11111111,43.33333333,38.88888888,2,4,2
113,65,1,5,3,2,5,54,74,71,62,78,26,38,57.57142857,50.375,20,0,2,4,2
114,39,2,1,1,1,5,76,82,7,50,9,57,4,40.71428571,38.40277778,33.33333333,22.22222222,2,3,2
115,26,2,1,1,1,5,8,30,6,90,8,82,8,33.14285714,33.86111111,43.33333333,38.88888888,1,3,2
116,48,2,6,3,1,5,100,100,0,100,5,100,68,67.57142857,71.625,80,100,1,3,2
117,33,2,3,1,1,6,79,100,100,100,37,69,31,73.71428571,69.36111111,43.33333333,38.88888888,1,3,2
118,27,2,2,3,1,5,83,86,56,98,63,88,80,79.14285714,76.88888889,56.66666667,61.11111112,2,1,2
119,21,2,3,1,1,3,61,79,63,27,28,78,57,56.14285714,56.76388889,56.66666667,61.11111112,2,4,2
120,55,2,4,2,1,4,2,25,0,6,0,0,2,5,6.458333333,30,16.66666667,2,3,2
121,34,2,4,4,2,6,78,97,9,100,0,79,17,54.28571429,49.58333333,30,16.66666667,1,1,2
122,33,2,6,1,1,4,85,92,92,92,29,79,83,78.85714286,72.47222222,36.66666667,27.77777778,1,4,2
123,35,1,6,1,1,4,72,69,33,71,0,76,0,45.85714286,51.23611111,73.33333333,88.88888888,2,2,2
124,52,1,1,2,1,5,0,96,0,100,1,85,7,41.28571429,36.81944444,23.33333333,5.55555555,1,3,2
125,58,2,4,2,1,4,12,18,78,61,2,69,4,34.85714286,34.66666667,40,33.33333333,2,3,2
126,31,2,4,1,1,4,69,97,67,98,57,92,30,72.85714286,68.61111111,43.33333333,38.88888888,2,3,2
127,55,2,7,1,1,4,49,73,49,50,0,0,65,40.85714286,35.75,20,0,2,4,2
128,72,2,5,3,1,6,0,100,0,0,0,0,0,14.28571429,12.5,20,0,1,4,2
129,31,2,6,3,1,5,20,92,98,99,67,93,100,81.28571429,80.15277778,63.33333333,72.22222222,1,3,2
130,22,2,4,3,1,4,45,100,62,23,59,62,32,54.71428571,57.59722222,66.66666667,77.77777778,2,2,2
131,25,2,7,3,1,4,38,72,31,61,65,30,36,47.57142857,44.40277778,33.33333333,22.22222222,2,3,2
132,34,1,2,2,1,4,86,74,58,62,40,64,29,59,57.18055556,46.66666667,44.44444445,2,3,2
133,67,2,6,3,2,4,1,2,2,21,0,0,0,3.714285714,3.25,20,0,2,4,2
134,28,2,5,4,1,4,15,55,0,0,100,23,0,27.57142857,24.125,20,0,2,4,2
135,19,2,7,2,1,5,68,81,65,63,65,63,81,69.42857143,64.91666667,40,33.33333333,1,3,2
136,18,2,6,1,1,4,15,64,30,63,22,80,0,39.14285714,36.33333333,30,16.66666667,2,3,2
137,49,2,8,4,1,5,42,63,55,65,67,58,81,61.57142857,61.51388889,56.66666667,61.11111112,2,3,2
138,25,2,3,1,1,3,55,66,0,64,10,65,27,41,39.34722222,36.66666667,27.77777778,2,1,2
139,41,2,5,1,1,2,15,40,7,41,0,0,0,14.71428571,17.04166667,40,33.33333333,1,3,2
140,18,1,5,1,1,4,21,54,41,56,33,33,48,40.85714286,44.08333333,60,66.66666667,2,3,2
141,25,1,3,1,2,4,0,80,100,0,77,81,18,50.85714286,47.27777778,33.33333333,22.22222222,2,1,2
142,18,1,7,1,1,3,12,58,36,37,42,56,40,40.14285714,36.51388889,26.66666667,11.11111112,2,3,2
143,54,2,6,2,1,6,60,94,58,100,0,80,0,56,54.55555556,46.66666667,44.44444445,2,4,2
144,25,1,2,1,1,5,59,55,57,57,82,72,59,63,63.45833333,60,66.66666667,1,3,2
145,59,2,8,4,1,5,39,38,70,11,0,8,0,23.71428571,26.30555556,46.66666667,44.44444445,2,3,2
146,21,2,1,1,1,5,71,100,9,75,4,25,60,49.14285714,50.63888889,56.66666667,61.11111112,2,1,2
147,53,1,1,1,2,5,79,79,27,80,73,100,21,65.57142857,66.40277778,63.33333333,72.22222222,2,3,3
148,34,2,2,1,1,5,22,49,0,47,53,25,69,37.85714286,35.20833333,30,16.66666667,2,3,3
149,49,1,3,1,1,4,14,81,100,100,8,94,100,71,69.76388889,56.66666667,61.11111112,1,3,3
150,64,1,7,3,1,5,37,64,78,58,67,66,74,63.42857143,61.05555556,46.66666667,44.44444445,2,3,3
151,65,2,8,1,2,4,9,51,11,17,22,21,27,22.57142857,19.75,20,0,2,3,3
152,32,1,4,2,1,5,64,68,74,85,72,82,94,77,69.45833333,30,16.66666667,2,2,3
153,39,2,4,1,1,5,59,100,22,63,0,16,4,37.71428571,40.63888889,56.66666667,61.11111112,2,2,3
154,34,2,3,3,1,4,38,59,41,63,33,53,10,42.42857143,39.90277778,33.33333333,22.22222222,2,3,3
155,32,1,8,3,1,5,66,87,72,56,42,71,29,60.42857143,59.81944444,53.33333333,55.55555555,2,3,3
156,44,2,3,4,1,5,100,100,77,76,50,100,4,72.42857143,73.79166667,70,83.33333333,1,4,3
157,30,2,2,1,1,5,74,100,77,100,61,81,0,70.42857143,72.04166667,70,83.33333333,1,2,3
158,51,2,8,2,1,5,81,85,81,37,24,46,17,53,51.93055556,46.66666667,44.44444445,2,4,3
159,59,2,1,2,1,4,100,100,100,93,12,12,75,70.28571429,63.58333333,30,16.66666667,2,3,3
160,34,1,8,3,1,5,69,100,58,67,77,51,66,69.71428571,70.02777778,63.33333333,72.22222222,2,3,3
161,62,1,6,1,2,4,11,65,67,16,0,0,61,31.42857143,27.5,20,0,2,3,3
162,55,1,3,1,1,4,70,76,27,100,59,71,39,63.14285714,59.41666667,40,33.33333333,2,4,3
163,30,2,5,2,2,5,92,100,89,100,82,95,57,87.85714286,89.375,80,100,1,4,3
164,28,1,3,2,1,4,54,74,19,79,8,4,0,34,33.91666667,40,33.33333333,2,2,3
165,28,2,2,1,2,4,57,73,65,62,1,56,67,54.42857143,49.01388889,26.66666667,11.11111112,1,3,3
166,22,1,8,1,1,5,75,85,66,88,88,82,0,69.14285714,71.61111111,73.33333333,88.88888888,1,3,3
167,43,1,1,3,1,4,30,84,61,100,11,89,8,54.71428571,54.125,50,50,2,2,3
168,72,2,3,4,2,5,76,95,72,100,0,100,84,75.28571429,69.34722222,36.66666667,27.77777778,2,2,3
169,64,1,2,3,1,6,72,73,43,59,37,45,63,56,57.33333333,60,66.66666667,2,1,3
170,24,1,1,3,1,3,69,73,36,67,33,41,10,47,48.06944444,53.33333333,55.55555555,2,2,3
171,19,1,4,1,1,5,62,100,65,78,14,62,10,55.85714286,58.59722222,66.66666667,77.77777778,2,4,3
172,45,1,8,2,1,5,3,82,0,0,0,0,0,12.14285714,10.625,20,0,1,3,3
173,53,2,2,2,2,4,59,73,21,0,0,34,0,26.71428571,26.15277778,33.33333333,22.22222222,2,3,3
174,47,1,8,4,1,4,29,67,0,60,0,55,0,30.14285714,26.375,20,0,2,2,3
175,43,2,3,1,1,5,75,79,14,100,0,80,37,55,55.76388889,56.66666667,61.11111112,2,2,3
176,44,1,6,3,2,5,32,66,69,65,30,69,63,56.28571429,53.41666667,40,33.33333333,1,3,3
177,53,1,1,2,1,3,20,26,79,79,70,82,58,59.14285714,51.75,20,0,2,3,3
178,34,2,3,3,1,5,77,79,60,100,100,79,0,70.71428571,69.51388889,56.66666667,61.11111112,2,3,3
179,45,2,4,1,1,4,62,100,81,100,0,98,100,77.28571429,75.95833333,60,66.66666667,2,2,3
180,35,1,8,4,2,5,78,94,63,69,29,66,36,62.14285714,60.625,50,50,2,4,3
181,45,2,5,3,1,4,57,70,72,95,57,56,14,60.14285714,60.26388889,56.66666667,61.11111112,2,1,3
182,32,2,2,3,1,5,99,100,69,100,32,100,0,71.42857143,75,80,100,1,1,3
183,40,1,8,4,1,6,82,86,32,100,69,99,25,70.42857143,72.73611111,73.33333333,88.88888888,1,3,3
184,21,1,1,1,2,4,27,66,61,57,22,35,55,46.14285714,42.45833333,30,16.66666667,2,2,3
185,24,1,6,3,2,4,76,92,100,33,0,67,81,64.14285714,60.29166667,40,33.33333333,1,3,3
186,21,1,6,1,2,4,62,66,7,76,63,84,53,58.71428571,56.23611111,43.33333333,38.88888888,2,2,3
187,18,2,8,1,1,4,66,80,76,75,17,76,93,69,68.70833333,60,66.66666667,2,3,3
188,24,2,2,3,1,4,71,92,68,61,55,69,72,69.71428571,67.94444444,53.33333333,55.55555555,2,3,3
189,41,1,6,3,1,5,32,94,73,100,0,63,39,57.28571429,52.90277778,33.33333333,22.22222222,1,3,3
190,19,2,8,1,1,5,13,37,68,81,68,0,90,51,53.65277778,63.33333333,72.22222222,2,4,3
191,21,1,4,1,1,2,22,94,8,60,0,61,29,39.14285714,37.72222222,36.66666667,27.77777778,2,3,4
192,23,1,8,3,1,5,59,82,52,76,87,94,31,68.71428571,63.59722222,36.66666667,27.77777778,2,3,4
193,55,2,2,3,1,6,88,88,0,97,92,95,0,65.71428571,66.52777778,63.33333333,72.22222222,1,1,4
194,62,2,1,3,2,5,100,100,100,100,44,100,0,77.71428571,80.5,80,100,2,1,4
195,49,2,4,3,2,4,79,79,70,57,32,69,63,64.14285714,63.06944444,53.33333333,55.55555555,2,2,4
196,61,2,1,1,1,4,11,74,83,51,27,68,91,57.85714286,61.73611111,73.33333333,88.88888888,2,3,4
197,39,2,2,1,1,4,89,86,75,74,25,65,63,68.14285714,62.40277778,33.33333333,22.22222222,1,3,4
198,30,2,5,4,2,5,15,62,0,83,100,12,25,42.42857143,39.90277778,33.33333333,22.22222222,2,3,4
199,35,1,4,4,1,4,15,77,0,34,0,6,0,18.85714286,19.97222222,36.66666667,27.77777778,2,2,4
200,24,2,4,2,1,4,16,62,40,91,28,57,54,49.71428571,50.44444444,53.33333333,55.55555555,2,3,4
201,23,2,2,1,1,6,63,88,83,100,79,68,65,78,79.36111111,73.33333333,88.88888888,2,1,4
202,26,1,7,1,1,4,71,100,0,100,100,27,0,56.85714286,50.44444444,23.33333333,5.55555555,2,3,4
203,18,1,4,1,1,5,12,72,22,69,23,68,93,51.28571429,52.51388889,56.66666667,61.11111112,2,3,4
204,28,2,7,4,1,4,57,87,94,18,38,76,97,66.71428571,65.31944444,53.33333333,55.55555555,2,3,5
205,44,1,3,2,1,5,83,100,82,100,60,94,0,74.14285714,75.98611111,73.33333333,88.88888888,2,1,5
206,72,2,3,1,2,5,58,68,75,58,2,28,64,50.42857143,46.90277778,33.33333333,22.22222222,2,3,5
207,56,2,6,2,1,5,95,100,21,90,28,41,0,53.57142857,57.98611111,73.33333333,88.88888888,2,1,5
208,60,1,1,1,2,5,9,26,3,0,1,0,18,8.142857143,8.51388889,26.66666667,11.11111112,2,4,5
209,41,2,4,3,1,5,100,78,0,80,40,82,0,54.28571429,55.83333333,60,66.66666667,1,3,5
210,36,1,2,3,2,5,5,6,50,38,65,73,64,43,40.40277778,33.33333333,22.22222222,2,1,5
211,59,2,4,1,1,4,66,84,39,100,22,70,74,65,61.73611111,43.33333333,38.88888888,2,4,5
212,57,1,4,1,1,4,58,77,28,13,17,58,20,38.71428571,38.04166667,40,33.33333333,2,2,5
213,40,1,4,1,2,4,43,65,51,79,15,45,53,50.14285714,48.73611111,43.33333333,38.88888888,2,3,5
214,43,2,2,2,2,4,69,68,42,65,0,69,0,44.71428571,40.51388889,26.66666667,11.11111112,2,3,5
215,64,1,1,1,1,5,73,56,56,93,29,87,41,62.14285714,64.09722222,66.66666667,77.77777778,2,1,5
216,41,2,2,4,1,4,64,85,67,93,0,20,74,57.57142857,52.45833333,30,16.66666667,2,3,5
217,57,1,4,3,1,5,86,86,0,82,0,84,0,48.28571429,49.88888889,56.66666667,61.11111112,1,3,5
218,76,1,4,4,1,5,69,69,67,67,57,57,55,63,57.90277778,33.33333333,22.22222222,2,4,5
219,65,2,1,1,1,5,86,100,0,0,0,72,12,38.57142857,40,50,50,2,4,5
220,38,2,6,1,1,4,59,100,55,80,0,88,0,54.57142857,51.91666667,40,33.33333333,1,3,5
221,64,1,1,1,2,5,100,100,8,100,0,1,1,44.28571429,38.75,20,0,2,2,5
222,29,1,3,3,2,5,100,79,23,73,32,67,17,55.85714286,53.04166667,40,33.33333333,2,3,5
223,48,1,8,4,1,5,72,91,69,32,96,78,63,71.57142857,69.56944444,53.33333333,55.55555555,1,3,5
224,65,1,8,4,1,6,88,94,73,55,65,36,45,65.14285714,65.33333333,60,66.66666667,2,3,5
225,58,2,5,4,1,5,100,100,64,100,46,93,27,75.71428571,69.02777778,33.33333333,22.22222222,2,3,5
226,63,2,1,2,1,5,72,100,84,26,32,66,94,67.71428571,68.27777778,63.33333333,72.22222222,1,3,5
227,61,2,4,2,1,6,65,75,17,70,0,60,20,43.85714286,43.23611111,43.33333333,38.88888888,2,2,5
228,59,1,3,3,1,5,19,100,0,100,0,16,43,39.71428571,37.52777778,33.33333333,22.22222222,1,2,5
229,32,2,3,2,1,4,53,86,61,52,0,77,52,54.42857143,55.26388889,56.66666667,61.11111112,2,3,5
230,56,1,6,4,1,4,57,66,38,63,71,57,33,55,51.59722222,36.66666667,27.77777778,2,3,5
231,59,1,8,4,1,5,62,85,23,65,15,0,39,41.28571429,37.51388889,26.66666667,11.11111112,2,3,5
232,62,2,4,4,1,4,57,65,56,81,41,56,68,60.57142857,61.33333333,60,66.66666667,2,2,5
233,33,1,1,1,1,4,69,89,81,51,0,51,0,48.71428571,48.875,50,50,2,1,5
234,41,1,8,3,2,4,71,100,0,82,0,27,4,40.57142857,36.19444444,23.33333333,5.55555555,2,3,5
235,30,2,8,3,1,4,39,70,42,70,28,55,28,47.42857143,44.97222222,36.66666667,27.77777778,2,2,5
236,52,2,7,1,2,6,89,100,30,100,0,76,15,58.57142857,60.27777778,63.33333333,72.22222222,2,3,5
237,62,2,5,2,2,4,51,50,70,16,0,74,7,38.28571429,34.19444444,23.33333333,5.55555555,2,3,5
238,68,2,2,3,1,5,100,100,30,100,18,100,16,66.28571429,63.55555556,46.66666667,44.44444445,2,4,5
239,28,1,3,1,1,4,15,64,36,33,0,18,0,23.71428571,22.13888889,26.66666667,11.11111112,2,1,5
240,48,2,4,3,1,6,68,92,20,100,85,63,21,64.14285714,64.45833333,60,66.66666667,2,3,5
241,44,1,2,1,2,5,67,82,29,94,30,65,19,55.14285714,53.80555556,46.66666667,44.44444445,2,2,5
242,26,1,7,1,2,5,22,100,52,0,0,30,15,31.28571429,30.84722222,36.66666667,27.77777778,2,1,5
243,45,2,2,3,1,4,61,66,55,67,21,51,70,55.85714286,55.125,50,50,2,2,5
244,70,1,4,3,2,5,68,81,67,87,36,40,38,59.57142857,60.45833333,60,66.66666667,2,3,5
245,49,1,1,3,1,5,79,22,23,52,5,51,3,33.57142857,38.40277778,63.33333333,72.22222222,2,4,5
246,20,1,8,1,1,5,51,92,8,7,92,65,70,55,56.45833333,60,66.66666667,2,3,5
247,67,2,3,3,2,5,72,73,0,0,0,81,0,32.28571429,28.25,20,0,2,4,5
